Title,Text,Author,Source,Label
FOOD-PEACE PLAN SPLITS U.S. AIDES; Kennedy Acts to Halt Fight Over Shift in Jurisdiction,WASHINGTON,By FELIX BELAIR Jr. Special to The New York Times,The New York Times,Reliable
A Candidate Spurned,By the time they touched down in New Hampshire last week,By MATT BAI,The New York Times,Reliable
Clinton Refines Message, With an Edge,By PATRICK HEALY,The New York Times,Reliable
The Caucuses, Gavel to Gavel,By BRIAN STELTER,The New York Times,Reliable
Clinton Found Her Voice, Now Seeks Youth,By ARIEL ALEXOVICH,The New York Times,Reliable
Atonement: Obits Were Dead on Arrival,James Schamus,By THE BAGGER,The New York Times,Reliable
The Republicans in the Crowd,More than a few potential converts in Iowa.,By KATHARINE Q. SEELYE,The New York Times,Reliable
The Early Word: Huckabee Scoffs at 'Christophobia',Part of Mike Huckabee's campaign strategy is to cut through political correctness and talk matter of factly about Jesus Christ.,By ARIEL ALEXOVICH,The New York Times,Reliable
Clinton Refines Message, With an Edge,By PATRICK HEALY,The New York Times,Reliable
The Caucuses, Gavel to Gavel,By BRIAN STELTER,The New York Times,Reliable
The Odds of Becoming President,Confused about who to support for president? The markets can help you sort it out.,By DAVID LEONHARDT,The New York Times,Reliable
A Candidate Spurned,By the time they touched down in New Hampshire last week,By MATT BAI,The New York Times,Reliable
The 'Visibility Primary',It appears that Ron Paul might be the front-runner in one area.,By MARK LEIBOVICH,The New York Times,Reliable
Photos: Sunday on the Trail,Republican and Democratic presidential candidates set to make their final arguments in person to as many New Hampshire voters as they could find.,By THE NEW YORK TIMES,The New York Times,Reliable
Clinton Found Her Voice, Now Seeks Youth,By ARIEL ALEXOVICH,The New York Times,Reliable
Obama Questions Nevada Caucus Lawsuit,The teachers union is challenging caucus sites on the Vegas Strip.,By JEFF ZELENY,The New York Times,Reliable
The Republicans in the Crowd,More than a few potential converts in Iowa.,By KATHARINE Q. SEELYE,The New York Times,Reliable
The Early Word: Huckabee Scoffs at 'Christophobia',Part of Mike Huckabee's campaign strategy is to cut through political correctness and talk matter of factly about Jesus Christ.,By ARIEL ALEXOVICH,The New York Times,Reliable
Clinton Refines Message, With an Edge,By PATRICK HEALY,The New York Times,Reliable
The Caucuses, Gavel to Gavel,By BRIAN STELTER,The New York Times,Reliable
The Odds of Becoming President,Confused about who to support for president? The markets can help you sort it out.,By DAVID LEONHARDT,The New York Times,Reliable
A Candidate Spurned,By the time they touched down in New Hampshire last week,By MATT BAI,The New York Times,Reliable
The 'Visibility Primary',It appears that Ron Paul might be the front-runner in one area.,By MARK LEIBOVICH,The New York Times,Reliable
Photos: Sunday on the Trail,Republican and Democratic presidential candidates set to make their final arguments in person to as many New Hampshire voters as they could find.,By THE NEW YORK TIMES,The New York Times,Reliable
Clinton Found Her Voice, Now Seeks Youth,By ARIEL ALEXOVICH,The New York Times,Reliable
Obama Questions Nevada Caucus Lawsuit,The teachers union is challenging caucus sites on the Vegas Strip.,By JEFF ZELENY,The New York Times,Reliable
FOOD-PEACE PLAN SPLITS U.S. AIDES; Kennedy Acts to Halt Fight Over Shift in Jurisdiction,WASHINGTON,By FELIX BELAIR Jr. Special to The New York Times,The New York Times,Reliable
Clinton Refines Message, With an Edge,By PATRICK HEALY,The New York Times,Reliable
The Caucuses, Gavel to Gavel,By BRIAN STELTER,The New York Times,Reliable
The Odds of Becoming President,Confused about who to support for president? The markets can help you sort it out.,By DAVID LEONHARDT,The New York Times,Reliable
A Candidate Spurned,By the time they touched down in New Hampshire last week,By MATT BAI,The New York Times,Reliable
The 'Visibility Primary',It appears that Ron Paul might be the front-runner in one area.,By MARK LEIBOVICH,The New York Times,Reliable
Photos: Sunday on the Trail,Republican and Democratic presidential candidates set to make their final arguments in person to as many New Hampshire voters as they could find.,By THE NEW YORK TIMES,The New York Times,Reliable
Clinton Found Her Voice, Now Seeks Youth,By ARIEL ALEXOVICH,The New York Times,Reliable
Obama Questions Nevada Caucus Lawsuit,The teachers union is challenging caucus sites on the Vegas Strip.,By JEFF ZELENY,The New York Times,Reliable
The Latest Thompson Ad Blitz,The Republican candidate plans to broadcast a 60-second commercial on several networks and channels tomorrow night.,By KATE PHILLIPS,The New York Times,Reliable
Atonement: Obits Were Dead on Arrival,James Schamus,By THE BAGGER,The New York Times,Reliable
Clinton Refines Message, With an Edge,By PATRICK HEALY,The New York Times,Reliable
The Caucuses, Gavel to Gavel,By BRIAN STELTER,The New York Times,Reliable
The Odds of Becoming President,Confused about who to support for president? The markets can help you sort it out.,By DAVID LEONHARDT,The New York Times,Reliable
A Candidate Spurned,By the time they touched down in New Hampshire last week,By MATT BAI,The New York Times,Reliable
The 'Visibility Primary',It appears that Ron Paul might be the front-runner in one area.,By MARK LEIBOVICH,The New York Times,Reliable
Photos: Sunday on the Trail,Republican and Democratic presidential candidates set to make their final arguments in person to as many New Hampshire voters as they could find.,By THE NEW YORK TIMES,The New York Times,Reliable
Clinton Found Her Voice, Now Seeks Youth,By ARIEL ALEXOVICH,The New York Times,Reliable
Obama Questions Nevada Caucus Lawsuit,The teachers union is challenging caucus sites on the Vegas Strip.,By JEFF ZELENY,The New York Times,Reliable
The Latest Thompson Ad Blitz,The Republican candidate plans to broadcast a 60-second commercial on several networks and channels tomorrow night.,By KATE PHILLIPS,The New York Times,Reliable
Atonement: Obits Were Dead on Arrival,James Schamus,By THE BAGGER,The New York Times,Reliable
The Republicans in the Crowd,More than a few potential converts in Iowa.,By KATHARINE Q. SEELYE,The New York Times,Reliable
The Early Word: Huckabee Scoffs at 'Christophobia',Part of Mike Huckabee's campaign strategy is to cut through political correctness and talk matter of factly about Jesus Christ.,By ARIEL ALEXOVICH,The New York Times,Reliable
Clinton Refines Message, With an Edge,By PATRICK HEALY,The New York Times,Reliable
The Caucuses, Gavel to Gavel,By BRIAN STELTER,The New York Times,Reliable
The Odds of Becoming President,Confused about who to support for president? The markets can help you sort it out.,By DAVID LEONHARDT,The New York Times,Reliable
A Candidate Spurned,By the time they touched down in New Hampshire last week,By MATT BAI,The New York Times,Reliable
The 'Visibility Primary',It appears that Ron Paul might be the front-runner in one area.,By MARK LEIBOVICH,The New York Times,Reliable
Photos: Sunday on the Trail,Republican and Democratic presidential candidates set to make their final arguments in person to as many New Hampshire voters as they could find.,By THE NEW YORK TIMES,The New York Times,Reliable
Clinton Found Her Voice, Now Seeks Youth,By ARIEL ALEXOVICH,The New York Times,Reliable
Obama Questions Nevada Caucus Lawsuit,The teachers union is challenging caucus sites on the Vegas Strip.,By JEFF ZELENY,The New York Times,Reliable
Clinton Refines Message, With an Edge,By PATRICK HEALY,The New York Times,Reliable
The Caucuses, Gavel to Gavel,By BRIAN STELTER,The New York Times,Reliable
The Odds of Becoming President,Confused about who to support for president? The markets can help you sort it out.,By DAVID LEONHARDT,The New York Times,Reliable
A Candidate Spurned,By the time they touched down in New Hampshire last week,By MATT BAI,The New York Times,Reliable
The 'Visibility Primary',It appears that Ron Paul might be the front-runner in one area.,By MARK LEIBOVICH,The New York Times,Reliable
Photos: Sunday on the Trail,Republican and Democratic presidential candidates set to make their final arguments in person to as many New Hampshire voters as they could find.,By THE NEW YORK TIMES,The New York Times,Reliable
Clinton Found Her Voice, Now Seeks Youth,By ARIEL ALEXOVICH,The New York Times,Reliable
Obama Questions Nevada Caucus Lawsuit,The teachers union is challenging caucus sites on the Vegas Strip.,By JEFF ZELENY,The New York Times,Reliable
The Latest Thompson Ad Blitz,The Republican candidate plans to broadcast a 60-second commercial on several networks and channels tomorrow night.,By KATE PHILLIPS,The New York Times,Reliable
Atonement: Obits Were Dead on Arrival,James Schamus,By THE BAGGER,The New York Times,Reliable
The Republicans in the Crowd,More than a few potential converts in Iowa.,By KATHARINE Q. SEELYE,The New York Times,Reliable
The Early Word: Huckabee Scoffs at 'Christophobia',Part of Mike Huckabee's campaign strategy is to cut through political correctness and talk matter of factly about Jesus Christ.,By ARIEL ALEXOVICH,The New York Times,Reliable
Clinton Refines Message, With an Edge,By PATRICK HEALY,The New York Times,Reliable
The Caucuses, Gavel to Gavel,By BRIAN STELTER,The New York Times,Reliable
The Odds of Becoming President,Confused about who to support for president? The markets can help you sort it out.,By DAVID LEONHARDT,The New York Times,Reliable
A Candidate Spurned,By the time they touched down in New Hampshire last week,By MATT BAI,The New York Times,Reliable
The 'Visibility Primary',It appears that Ron Paul might be the front-runner in one area.,By MARK LEIBOVICH,The New York Times,Reliable
Photos: Sunday on the Trail,Republican and Democratic presidential candidates set to make their final arguments in person to as many New Hampshire voters as they could find.,By THE NEW YORK TIMES,The New York Times,Reliable
Clinton Found Her Voice, Now Seeks Youth,By ARIEL ALEXOVICH,The New York Times,Reliable
Obama Questions Nevada Caucus Lawsuit,The teachers union is challenging caucus sites on the Vegas Strip.,By JEFF ZELENY,The New York Times,Reliable
The Republicans in the Crowd,More than a few potential converts in Iowa.,By KATHARINE Q. SEELYE,The New York Times,Reliable
The Early Word: Huckabee Scoffs at 'Christophobia',Part of Mike Huckabee's campaign strategy is to cut through political correctness and talk matter of factly about Jesus Christ.,By ARIEL ALEXOVICH,The New York Times,Reliable
Clinton Refines Message, With an Edge,By PATRICK HEALY,The New York Times,Reliable
The Caucuses, Gavel to Gavel,By BRIAN STELTER,The New York Times,Reliable
The Odds of Becoming President,Confused about who to support for president? The markets can help you sort it out.,By DAVID LEONHARDT,The New York Times,Reliable
A Candidate Spurned,By the time they touched down in New Hampshire last week,By MATT BAI,The New York Times,Reliable
The 'Visibility Primary',It appears that Ron Paul might be the front-runner in one area.,By MARK LEIBOVICH,The New York Times,Reliable
Photos: Sunday on the Trail,Republican and Democratic presidential candidates set to make their final arguments in person to as many New Hampshire voters as they could find.,By THE NEW YORK TIMES,The New York Times,Reliable
Clinton Found Her Voice, Now Seeks Youth,By ARIEL ALEXOVICH,The New York Times,Reliable
Obama Questions Nevada Caucus Lawsuit,The teachers union is challenging caucus sites on the Vegas Strip.,By JEFF ZELENY,The New York Times,Reliable
FOOD-PEACE PLAN SPLITS U.S. AIDES; Kennedy Acts to Halt Fight Over Shift in Jurisdiction,WASHINGTON,By FELIX BELAIR Jr. Special to The New York Times,The New York Times,Reliable
The Republicans in the Crowd,More than a few potential converts in Iowa.,By KATHARINE Q. SEELYE,The New York Times,Reliable
The Early Word: Huckabee Scoffs at 'Christophobia',Part of Mike Huckabee's campaign strategy is to cut through political correctness and talk matter of factly about Jesus Christ.,By ARIEL ALEXOVICH,The New York Times,Reliable
Clinton Refines Message, With an Edge,By PATRICK HEALY,The New York Times,Reliable
The Caucuses, Gavel to Gavel,By BRIAN STELTER,The New York Times,Reliable
The Odds of Becoming President,Confused about who to support for president? The markets can help you sort it out.,By DAVID LEONHARDT,The New York Times,Reliable
A Candidate Spurned,By the time they touched down in New Hampshire last week,By MATT BAI,The New York Times,Reliable
The 'Visibility Primary',It appears that Ron Paul might be the front-runner in one area.,By MARK LEIBOVICH,The New York Times,Reliable
Photos: Sunday on the Trail,Republican and Democratic presidential candidates set to make their final arguments in person to as many New Hampshire voters as they could find.,By THE NEW YORK TIMES,The New York Times,Reliable
Clinton Found Her Voice, Now Seeks Youth,By ARIEL ALEXOVICH,The New York Times,Reliable
Obama Questions Nevada Caucus Lawsuit,The teachers union is challenging caucus sites on the Vegas Strip.,By JEFF ZELENY,The New York Times,Reliable
FOOD-PEACE PLAN SPLITS U.S. AIDES; Kennedy Acts to Halt Fight Over Shift in Jurisdiction,WASHINGTON,By FELIX BELAIR Jr. Special to The New York Times,The New York Times,Reliable
FOOD-PEACE PLAN SPLITS U.S. AIDES; Kennedy Acts to Halt Fight Over Shift in Jurisdiction,WASHINGTON,By FELIX BELAIR Jr. Special to The New York Times,The New York Times,Reliable
Clinton Refines Message, With an Edge,By PATRICK HEALY,The New York Times,Reliable
The Caucuses, Gavel to Gavel,By BRIAN STELTER,The New York Times,Reliable
The Odds of Becoming President,Confused about who to support for president? The markets can help you sort it out.,By DAVID LEONHARDT,The New York Times,Reliable
A Candidate Spurned,By the time they touched down in New Hampshire last week,By MATT BAI,The New York Times,Reliable
The 'Visibility Primary',It appears that Ron Paul might be the front-runner in one area.,By MARK LEIBOVICH,The New York Times,Reliable
Photos: Sunday on the Trail,Republican and Democratic presidential candidates set to make their final arguments in person to as many New Hampshire voters as they could find.,By THE NEW YORK TIMES,The New York Times,Reliable
Clinton Found Her Voice, Now Seeks Youth,By ARIEL ALEXOVICH,The New York Times,Reliable
Obama Questions Nevada Caucus Lawsuit,The teachers union is challenging caucus sites on the Vegas Strip.,By JEFF ZELENY,The New York Times,Reliable
The Latest Thompson Ad Blitz,The Republican candidate plans to broadcast a 60-second commercial on several networks and channels tomorrow night.,By KATE PHILLIPS,The New York Times,Reliable
Atonement: Obits Were Dead on Arrival,James Schamus,By THE BAGGER,The New York Times,Reliable
The Republicans in the Crowd,More than a few potential converts in Iowa.,By KATHARINE Q. SEELYE,The New York Times,Reliable
The Early Word: Huckabee Scoffs at 'Christophobia',Part of Mike Huckabee's campaign strategy is to cut through political correctness and talk matter of factly about Jesus Christ.,By ARIEL ALEXOVICH,The New York Times,Reliable
Clinton Refines Message, With an Edge,By PATRICK HEALY,The New York Times,Reliable
The Caucuses, Gavel to Gavel,By BRIAN STELTER,The New York Times,Reliable
The Odds of Becoming President,Confused about who to support for president? The markets can help you sort it out.,By DAVID LEONHARDT,The New York Times,Reliable
A Candidate Spurned,By the time they touched down in New Hampshire last week,By MATT BAI,The New York Times,Reliable
The 'Visibility Primary',It appears that Ron Paul might be the front-runner in one area.,By MARK LEIBOVICH,The New York Times,Reliable
Photos: Sunday on the Trail,Republican and Democratic presidential candidates set to make their final arguments in person to as many New Hampshire voters as they could find.,By THE NEW YORK TIMES,The New York Times,Reliable
Clinton Found Her Voice, Now Seeks Youth,By ARIEL ALEXOVICH,The New York Times,Reliable
Obama Questions Nevada Caucus Lawsuit,The teachers union is challenging caucus sites on the Vegas Strip.,By JEFF ZELENY,The New York Times,Reliable
FOOD-PEACE PLAN SPLITS U.S. AIDES; Kennedy Acts to Halt Fight Over Shift in Jurisdiction,WASHINGTON,By FELIX BELAIR Jr. Special to The New York Times,The New York Times,Reliable
The Republicans in the Crowd,More than a few potential converts in Iowa.,By KATHARINE Q. SEELYE,The New York Times,Reliable
The Early Word: Huckabee Scoffs at 'Christophobia',Part of Mike Huckabee's campaign strategy is to cut through political correctness and talk matter of factly about Jesus Christ.,By ARIEL ALEXOVICH,The New York Times,Reliable
Clinton Refines Message, With an Edge,By PATRICK HEALY,The New York Times,Reliable
The Caucuses, Gavel to Gavel,By BRIAN STELTER,The New York Times,Reliable
The Odds of Becoming President,Confused about who to support for president? The markets can help you sort it out.,By DAVID LEONHARDT,The New York Times,Reliable
A Candidate Spurned,By the time they touched down in New Hampshire last week,By MATT BAI,The New York Times,Reliable
The 'Visibility Primary',It appears that Ron Paul might be the front-runner in one area.,By MARK LEIBOVICH,The New York Times,Reliable
Photos: Sunday on the Trail,Republican and Democratic presidential candidates set to make their final arguments in person to as many New Hampshire voters as they could find.,By THE NEW YORK TIMES,The New York Times,Reliable
Clinton Found Her Voice, Now Seeks Youth,By ARIEL ALEXOVICH,The New York Times,Reliable
Obama Questions Nevada Caucus Lawsuit,The teachers union is challenging caucus sites on the Vegas Strip.,By JEFF ZELENY,The New York Times,Reliable
Clinton Refines Message, With an Edge,By PATRICK HEALY,The New York Times,Reliable
The Caucuses, Gavel to Gavel,By BRIAN STELTER,The New York Times,Reliable
The Odds of Becoming President,Confused about who to support for president? The markets can help you sort it out.,By DAVID LEONHARDT,The New York Times,Reliable
A Candidate Spurned,By the time they touched down in New Hampshire last week,By MATT BAI,The New York Times,Reliable
The 'Visibility Primary',It appears that Ron Paul might be the front-runner in one area.,By MARK LEIBOVICH,The New York Times,Reliable
Photos: Sunday on the Trail,Republican and Democratic presidential candidates set to make their final arguments in person to as many New Hampshire voters as they could find.,By THE NEW YORK TIMES,The New York Times,Reliable
Clinton Found Her Voice, Now Seeks Youth,By ARIEL ALEXOVICH,The New York Times,Reliable
Obama Questions Nevada Caucus Lawsuit,The teachers union is challenging caucus sites on the Vegas Strip.,By JEFF ZELENY,The New York Times,Reliable
The Latest Thompson Ad Blitz,The Republican candidate plans to broadcast a 60-second commercial on several networks and channels tomorrow night.,By KATE PHILLIPS,The New York Times,Reliable
Atonement: Obits Were Dead on Arrival,James Schamus,By THE BAGGER,The New York Times,Reliable
The Republicans in the Crowd,More than a few potential converts in Iowa.,By KATHARINE Q. SEELYE,The New York Times,Reliable
The Early Word: Huckabee Scoffs at 'Christophobia',Part of Mike Huckabee's campaign strategy is to cut through political correctness and talk matter of factly about Jesus Christ.,By ARIEL ALEXOVICH,The New York Times,Reliable
Clinton Refines Message, With an Edge,By PATRICK HEALY,The New York Times,Reliable
The Caucuses, Gavel to Gavel,By BRIAN STELTER,The New York Times,Reliable
The Odds of Becoming President,Confused about who to support for president? The markets can help you sort it out.,By DAVID LEONHARDT,The New York Times,Reliable
A Candidate Spurned,By the time they touched down in New Hampshire last week,By MATT BAI,The New York Times,Reliable
The 'Visibility Primary',It appears that Ron Paul might be the front-runner in one area.,By MARK LEIBOVICH,The New York Times,Reliable
Photos: Sunday on the Trail,Republican and Democratic presidential candidates set to make their final arguments in person to as many New Hampshire voters as they could find.,By THE NEW YORK TIMES,The New York Times,Reliable
Clinton Found Her Voice, Now Seeks Youth,By ARIEL ALEXOVICH,The New York Times,Reliable
Obama Questions Nevada Caucus Lawsuit,The teachers union is challenging caucus sites on the Vegas Strip.,By JEFF ZELENY,The New York Times,Reliable
The Republicans in the Crowd,More than a few potential converts in Iowa.,By KATHARINE Q. SEELYE,The New York Times,Reliable
The Early Word: Huckabee Scoffs at 'Christophobia',Part of Mike Huckabee's campaign strategy is to cut through political correctness and talk matter of factly about Jesus Christ.,By ARIEL ALEXOVICH,The New York Times,Reliable
Clinton Refines Message, With an Edge,By PATRICK HEALY,The New York Times,Reliable
The Odds of Becoming President,Confused about who to support for president? The markets can help you sort it out.,By DAVID LEONHARDT,The New York Times,Reliable
The 'Visibility Primary',It appears that Ron Paul might be the front-runner in one area.,By MARK LEIBOVICH,The New York Times,Reliable
Photos: Sunday on the Trail,Republican and Democratic presidential candidates set to make their final arguments in person to as many New Hampshire voters as they could find.,By THE NEW YORK TIMES,The New York Times,Reliable
Obama Questions Nevada Caucus Lawsuit,The teachers union is challenging caucus sites on the Vegas Strip.,By JEFF ZELENY,The New York Times,Reliable
The Odds of Becoming President,Confused about who to support for president? The markets can help you sort it out.,By DAVID LEONHARDT,The New York Times,Reliable
The 'Visibility Primary',It appears that Ron Paul might be the front-runner in one area.,By MARK LEIBOVICH,The New York Times,Reliable
Photos: Sunday on the Trail,Republican and Democratic presidential candidates set to make their final arguments in person to as many New Hampshire voters as they could find.,By THE NEW YORK TIMES,The New York Times,Reliable
Obama Questions Nevada Caucus Lawsuit,The teachers union is challenging caucus sites on the Vegas Strip.,By JEFF ZELENY,The New York Times,Reliable
